,firm_id,nace,k,kin,kout,firm_id_consecutive,nace4,nace_consecutive
71,71,82,0,0,0,71,8230,72
72,72,45,2,1,1,72,4511,40
73,73,45,1,0,1,73,4511,40
74,74,59,1,0,1,74,5911,51
75,75,43,1,0,1,75,4322,39
76,76,45,1,0,1,76,4519,40
77,77,38,1,0,1,77,3821,35
78,78,68,2,0,2,78,6820,59
79,79,43,0,0,0,79,4329,39
80,80,1,1,0,1,80,113,0
81,81,10,3,2,1,81,1092,8
82,82,49,1,0,1,82,4941,43
83,83,49,0,0,0,83,4941,43
84,84,85,0,0,0,84,8559,74
85,85,41,0,0,0,85,4120,37
86,86,25,2,2,0,86,2511,23
87,87,62,1,0,1,87,6201,54
88,88,10,5,5,0,88,1011,8
89,89,25,2,1,1,89,2562,23
90,90,62,0,0,0,90,6201,54
91,91,68,12,5,7,91,6820,59
92,92,28,1,0,1,92,2825,26
93,93,68,1,0,1,93,6820,59
94,94,71,0,0,0,94,7112,62
95,95,46,1,0,1,95,4644,41
96,96,68,1,0,1,96,6820,59
97,97,56,1,0,1,97,5629,49
98,98,46,1,1,0,98,4673,41
99,99,68,0,0,0,99,6832,59
100,100,68,2,1,1,100,6820,59
101,101,46,7,0,7,101,4649,41
102,102,93,0,0,0,102,9313,80
103,103,70,0,0,0,103,7022,61
104,104,25,1,0,1,104,2561,23
105,105,99,0,0,0,105,9999,84
106,106,99,0,0,0,106,9999,84
107,107,73,1,0,1,107,7320,64
108,108,25,3,0,3,108,2562,23
109,109,49,0,0,0,109,4941,43
110,110,45,6,3,3,110,4511,40
111,111,59,2,1,1,111,5911,51
112,112,99,0,0,0,112,9999,84
113,113,68,1,0,1,113,6820,59
114,114,46,16,13,3,114,4639,41
115,115,99,1,0,1,115,9999,84
116,116,25,3,1,2,116,2511,23
117,117,68,0,0,0,117,6820,59
118,118,46,0,0,0,118,4675,41
119,119,73,5,2,3,119,7311,64
120,120,42,1,0,1,120,4291,38
121,121,62,6,2,4,121,6209,54
122,122,25,0,0,0,122,2591,23
123,123,46,1,1,0,123,4617,41
124,124,43,1,0,1,124,4399,39
125,125,13,3,3,0,125,1396,11
126,126,10,8,7,1,126,1071,8
127,127,73,1,0,1,127,7320,64
128,128,81,1,0,1,128,8121,71
129,129,49,1,1,0,129,4941,43
130,130,99,3,1,2,130,9999,84
131,131,45,1,1,0,131,4519,40
132,132,43,0,0,0,132,4321,39
133,133,68,0,0,0,133,6810,59
134,134,82,1,0,1,134,8299,72
135,135,68,0,0,0,135,6820,59
136,136,71,1,0,1,136,7112,62
137,137,56,2,2,0,137,5629,49
138,138,42,2,1,1,138,4222,38
139,139,68,1,0,1,139,6820,59
140,140,47,2,0,2,140,4752,42
141,141,46,0,0,0,141,4671,41
142,142,47,0,0,0,142,4778,42
143,143,70,1,0,1,143,7022,61
144,144,43,1,0,1,144,4329,39
145,145,22,47,45,2,145,2211,20
146,146,45,0,0,0,146,4519,40
147,147,46,6,2,4,147,4674,41
148,148,46,0,0,0,148,4690,41
149,149,49,0,0,0,149,4939,43
150,150,73,1,0,1,150,7311,64
151,151,99,1,0,1,151,9999,84
152,152,43,0,0,0,152,4312,39
153,153,53,1,0,1,153,5320,47
154,154,46,1,0,1,154,4619,41
155,155,71,0,0,0,155,7112,62
156,156,33,4,0,4,156,3320,31
157,157,46,8,5,3,157,4646,41
158,158,46,1,0,1,158,4646,41
159,159,71,0,0,0,159,7111,62
160,160,71,0,0,0,160,7112,62
161,161,63,1,0,1,161,6312,55
162,162,70,0,0,0,162,7022,61
163,163,99,0,0,0,163,9999,84
164,164,46,0,0,0,164,4621,41
165,165,45,0,0,0,165,4511,40
166,166,49,1,0,1,166,4941,43
167,167,46,1,1,0,167,4673,41
168,168,42,0,0,0,168,4211,38
169,169,1,1,0,1,169,141,0
170,170,29,1,0,1,170,2932,27
171,171,42,0,0,0,171,4212,38
172,172,52,1,0,1,172,5210,46
173,173,46,0,0,0,173,4677,41
174,174,38,0,0,0,174,3811,35
175,175,70,1,0,1,175,7022,61
176,176,58,1,0,1,176,5811,50
177,177,13,0,0,0,177,1330,11
178,178,68,1,0,1,178,6820,59
179,179,56,1,0,1,179,5610,49
180,180,68,1,0,1,180,6820,59
181,181,68,2,0,2,181,6820,59
182,182,59,0,0,0,182,5911,51
183,183,47,0,0,0,183,4711,42
184,184,46,2,1,1,184,4690,41
185,185,49,2,0,2,185,4941,43
186,186,47,1,1,0,186,4771,42
187,187,90,0,0,0,187,9002,77
188,188,46,2,0,2,188,4673,41
189,189,99,1,0,1,189,9999,84
190,190,41,0,0,0,190,4120,37
191,191,46,2,0,2,191,4669,41
192,192,68,4,2,2,192,6810,59
193,193,49,0,0,0,193,4941,43
194,194,41,1,0,1,194,4120,37
195,195,62,2,1,1,195,6201,54
196,196,25,0,0,0,196,2562,23
197,197,99,1,0,1,197,9999,84
198,198,68,1,0,1,198,6820,59
199,199,55,0,0,0,199,5510,48
200,200,68,1,0,1,200,6820,59
201,201,43,0,0,0,201,4311,39
202,202,47,0,0,0,202,4752,42
203,203,82,0,0,0,203,8299,72
204,204,43,0,0,0,204,4322,39
205,205,46,9,0,9,205,4636,41
206,206,11,2,0,2,206,1107,9
207,207,46,0,0,0,207,4690,41
208,208,46,1,0,1,208,4690,41
209,209,71,1,0,1,209,7112,62
210,210,82,5,1,4,210,8299,72
211,211,22,6,5,1,211,2222,20
212,212,68,1,0,1,212,6820,59
213,213,31,2,1,1,213,3101,29
214,214,62,1,1,0,214,6202,54
215,215,77,0,0,0,215,7739,67
216,216,46,7,6,1,216,4651,41
217,217,42,2,2,0,217,4211,38
218,218,62,2,1,1,218,6201,54
219,219,41,0,0,0,219,4120,37
220,220,72,1,0,1,220,7220,63
221,221,71,0,0,0,221,7120,62
222,222,93,1,1,0,222,9319,80
223,223,68,2,0,2,223,6820,59
224,224,47,1,0,1,224,4754,42
225,225,68,1,0,1,225,6820,59
226,226,35,14,6,8,226,3514,32
227,227,46,1,0,1,227,4676,41
228,228,70,0,0,0,228,7022,61
229,229,1,1,0,1,229,162,0
230,230,77,2,1,1,230,7739,67
231,231,49,1,0,1,231,4941,43
232,232,49,1,0,1,232,4931,43
233,233,68,1,0,1,233,6810,59
234,234,46,1,1,0,234,4639,41
235,235,18,1,0,1,235,1812,16
236,236,25,1,0,1,236,2562,23
237,237,47,0,0,0,237,4730,42
238,238,90,0,0,0,238,9001,77
239,239,46,6,2,4,239,4646,41
240,240,29,1,0,1,240,2920,27
241,241,55,0,0,0,241,5510,48
242,242,25,1,0,1,242,2562,23
243,243,78,0,0,0,243,7820,68
244,244,25,1,1,0,244,2562,23
245,245,25,0,0,0,245,2562,23
246,246,55,0,0,0,246,5510,48
247,247,49,1,0,1,247,4941,43
248,248,68,1,0,1,248,6820,59
249,249,47,1,1,0,249,4730,42
250,250,99,0,0,0,250,9999,84
251,251,70,0,0,0,251,7022,61
252,252,41,1,0,1,252,4120,37
253,253,46,0,0,0,253,4675,41
254,254,68,6,4,2,254,6810,59
255,255,42,0,0,0,255,4211,38
256,256,45,0,0,0,256,4511,40
257,257,45,0,0,0,257,4520,40
258,258,99,2,2,0,258,9999,84
259,259,46,1,0,1,259,4617,41
260,260,56,1,1,0,260,5610,49
261,261,45,0,0,0,261,4531,40
262,262,10,1,0,1,262,1011,8
263,263,29,1,1,0,263,2931,27
264,264,35,4,3,1,264,3530,32
265,265,43,4,2,2,265,4399,39
266,266,43,0,0,0,266,4399,39
267,267,99,1,0,1,267,9999,84
268,268,77,2,1,1,268,7712,67
269,269,52,1,0,1,269,5210,46
270,270,99,1,1,0,270,9999,84
271,271,99,9,5,4,271,9999,84
272,272,33,1,1,0,272,3312,31
273,273,99,1,0,1,273,9999,84
274,274,99,1,0,1,274,9999,84
275,275,10,0,0,0,275,1091,8
276,276,99,1,1,0,276,9999,84
277,277,1,0,0,0,277,111,0
278,278,41,0,0,0,278,4120,37
279,279,69,1,0,1,279,6910,60
280,280,99,1,0,1,280,9999,84
281,281,69,0,0,0,281,6910,60
282,282,28,0,0,0,282,2849,26
283,283,46,1,0,1,283,4638,41
284,284,69,1,1,0,284,6910,60
285,285,49,2,1,1,285,4941,43
286,286,62,1,1,0,286,6202,54
287,287,46,0,0,0,287,4669,41
288,288,2,3,0,3,288,220,1
289,289,99,1,1,0,289,9999,84
290,290,42,1,1,0,290,4211,38
291,291,25,0,0,0,291,2561,23
292,292,95,0,0,0,292,9511,82
293,293,28,0,0,0,293,2829,26
294,294,41,1,0,1,294,4120,37
295,295,35,65,19,46,295,3513,32
296,296,42,1,0,1,296,4222,38
297,297,43,1,1,0,297,4399,39
298,298,62,0,0,0,298,6202,54
299,299,62,0,0,0,299,6209,54
300,300,68,1,0,1,300,6810,59
301,301,93,2,2,0,301,9312,80
302,302,43,1,0,1,302,4321,39
303,303,99,0,0,0,303,9999,84
304,304,68,1,0,1,304,6810,59
305,305,99,0,0,0,305,9999,84
306,306,53,3,2,1,306,5320,47
307,307,68,5,2,3,307,6820,59
308,308,25,0,0,0,308,2512,23
309,309,99,1,1,0,309,9999,84
310,310,71,0,0,0,310,7112,62
311,311,49,1,0,1,311,4941,43
312,312,47,0,0,0,312,4711,42
313,313,62,0,0,0,313,6209,54
314,314,99,0,0,0,314,9999,84
315,315,56,2,1,1,315,5629,49
316,316,46,2,1,1,316,4649,41
317,317,73,0,0,0,317,7312,64
318,318,49,2,1,1,318,4941,43
319,319,99,1,0,1,319,9999,84
320,320,47,0,0,0,320,4751,42
321,321,70,0,0,0,321,7022,61
322,322,25,2,1,1,322,2562,23
323,323,49,0,0,0,323,4941,43
324,324,49,0,0,0,324,4941,43
325,325,20,1,1,0,325,2059,18
326,326,68,1,0,1,326,6832,59
327,327,68,1,0,1,327,6820,59
328,328,46,0,0,0,328,4690,41
329,329,49,1,0,1,329,4941,43
330,330,99,0,0,0,330,9999,84
331,331,1,0,0,0,331,162,0
332,332,88,1,0,1,332,8899,76
333,333,49,0,0,0,333,4941,43
334,334,46,0,0,0,334,4675,41
335,335,71,0,0,0,335,7112,62
336,336,43,0,0,0,336,4322,39
337,337,80,2,1,1,337,8010,70
338,338,47,0,0,0,338,4754,42
339,339,46,2,0,2,339,4652,41
340,340,43,1,0,1,340,4322,39
341,341,28,1,0,1,341,2896,26
342,342,22,2,1,1,342,2229,20
343,343,28,0,0,0,343,2812,26
344,344,35,1,0,1,344,3511,32
345,345,55,1,1,0,345,5520,48
346,346,1,0,0,0,346,111,0
347,347,41,1,0,1,347,4110,37
348,348,49,5,3,2,348,4931,43
349,349,10,1,0,1,349,1011,8
350,350,63,0,0,0,350,6399,55
351,351,46,8,2,6,351,4661,41
352,352,26,2,2,0,352,2611,24
353,353,45,9,5,4,353,4511,40
354,354,74,0,0,0,354,7490,65
355,355,74,0,0,0,355,7490,65
356,356,46,1,0,1,356,4675,41
357,357,43,0,0,0,357,4311,39
358,358,49,3,2,1,358,4939,43
359,359,82,5,1,4,359,8299,72
360,360,46,0,0,0,360,4673,41
361,361,1,0,0,0,361,147,0
362,362,25,0,0,0,362,2521,23
363,363,1,0,0,0,363,111,0
364,364,99,0,0,0,364,9999,84
365,365,33,1,0,1,365,3317,31
366,366,36,7,6,1,366,3600,33
367,367,72,0,0,0,367,7219,63
368,368,70,1,0,1,368,7022,61
369,369,46,0,0,0,369,4669,41
370,370,52,4,2,2,370,5224,46
371,371,70,0,0,0,371,7022,61
372,372,47,1,1,0,372,4759,42
373,373,22,0,0,0,373,2229,20
374,374,64,2,1,1,374,6420,56
375,375,99,0,0,0,375,9999,84
376,376,45,0,0,0,376,4511,40
377,377,46,3,1,2,377,4634,41
378,378,72,0,0,0,378,7211,63
379,379,80,1,0,1,379,8010,70
380,380,82,1,0,1,380,8211,72
381,381,68,1,0,1,381,6820,59
382,382,43,0,0,0,382,4312,39
383,383,46,1,0,1,383,4675,41
384,384,68,0,0,0,384,6810,59
385,385,99,0,0,0,385,9999,84
386,386,49,0,0,0,386,4941,43
387,387,80,4,2,2,387,8010,70
388,388,68,0,0,0,388,6810,59
389,389,45,0,0,0,389,4511,40
390,390,38,1,0,1,390,3811,35
391,391,46,1,1,0,391,4618,41
392,392,68,1,1,0,392,6810,59
393,393,77,1,1,0,393,7712,67
394,394,52,0,0,0,394,5229,46
395,395,43,1,1,0,395,4322,39
396,396,42,0,0,0,396,4299,38
397,397,80,0,0,0,397,8020,70
398,398,78,1,0,1,398,7820,68
399,399,46,0,0,0,399,4669,41
400,400,71,1,0,1,400,7112,62
401,401,32,0,0,0,401,3250,30
402,402,43,0,0,0,402,4399,39
403,403,81,1,0,1,403,8121,71
404,404,43,0,0,0,404,4329,39
405,405,46,0,0,0,405,4673,41
406,406,49,0,0,0,406,4941,43
407,407,99,0,0,0,407,9999,84
408,408,47,1,1,0,408,4730,42
409,409,41,0,0,0,409,4110,37
410,410,80,1,0,1,410,8010,70
411,411,43,0,0,0,411,4321,39
412,412,77,0,0,0,412,7712,67
413,413,42,1,0,1,413,4299,38
414,414,43,1,0,1,414,4312,39
415,415,46,0,0,0,415,4619,41
416,416,46,0,0,0,416,4677,41
417,417,99,0,0,0,417,9999,84
418,418,46,0,0,0,418,4651,41
419,419,45,0,0,0,419,4520,40
420,420,90,1,0,1,420,9001,77
421,421,45,2,2,0,421,4531,40
422,422,46,0,0,0,422,4639,41
423,423,47,0,0,0,423,4778,42
424,424,47,6,3,3,424,4741,42
425,425,41,0,0,0,425,4120,37
426,426,46,1,0,1,426,4690,41
427,427,62,0,0,0,427,6201,54
428,428,68,1,1,0,428,6820,59
429,429,47,2,0,2,429,4799,42
430,430,62,0,0,0,430,6202,54
431,431,23,5,0,5,431,2363,21
432,432,43,1,0,1,432,4399,39
433,433,71,0,0,0,433,7112,62
434,434,62,2,0,2,434,6201,54
435,435,82,2,1,1,435,8299,72
436,436,41,1,1,0,436,4120,37
437,437,52,1,0,1,437,5221,46
438,438,99,0,0,0,438,9999,84
439,439,41,4,2,2,439,4110,37
440,440,52,2,1,1,440,5221,46
441,441,80,2,1,1,441,8010,70
442,442,46,0,0,0,442,4674,41
443,443,42,0,0,0,443,4213,38
444,444,41,0,0,0,444,4120,37
445,445,70,1,0,1,445,7022,61
446,446,96,1,0,1,446,9604,83
447,447,81,2,1,1,447,8121,71
448,448,46,1,1,0,448,4615,41
449,449,46,0,0,0,449,4662,41
450,450,99,0,0,0,450,9999,84
451,451,31,1,0,1,451,3109,29
452,452,49,0,0,0,452,4932,43
453,453,43,0,0,0,453,4329,39
454,454,49,1,0,1,454,4941,43
455,455,1,0,0,0,455,124,0
456,456,47,1,0,1,456,4742,42
457,457,46,0,0,0,457,4652,41
458,458,49,1,0,1,458,4931,43
459,459,70,0,0,0,459,7022,61
460,460,47,1,0,1,460,4771,42
461,461,42,0,0,0,461,4211,38
462,462,99,0,0,0,462,9999,84
463,463,42,0,0,0,463,4211,38
464,464,56,1,0,1,464,5610,49
465,465,71,0,0,0,465,7111,62
466,466,43,0,0,0,466,4312,39
467,467,99,0,0,0,467,9999,84
468,468,99,0,0,0,468,9999,84
469,469,55,3,3,0,469,5510,48
470,470,42,1,0,1,470,4222,38
471,471,43,0,0,0,471,4322,39
472,472,55,0,0,0,472,5510,48
473,473,46,1,0,1,473,4690,41
474,474,99,1,1,0,474,9999,84
475,475,99,6,1,5,475,9999,84
476,476,99,1,1,0,476,9999,84
477,477,99,1,0,1,477,9999,84
478,478,99,2,0,2,478,9999,84
479,479,99,1,0,1,479,9999,84
480,480,99,1,0,1,480,9999,84
481,481,99,2,1,1,481,9999,84
482,482,85,0,0,0,482,8532,74
483,483,46,0,0,0,483,4618,41
484,484,46,3,1,2,484,4618,41
485,485,59,1,0,1,485,5911,51
486,486,77,0,0,0,486,7732,67
487,487,58,1,0,1,487,5814,50
488,488,29,36,33,3,488,2920,27
489,489,82,0,0,0,489,8230,72
490,490,47,6,4,2,490,4711,42
491,491,68,3,0,3,491,6810,59
492,492,99,1,1,0,492,9999,84
493,493,81,16,5,11,493,8110,71
494,494,18,1,0,1,494,1812,16
495,495,74,1,1,0,495,7490,65
496,496,47,0,0,0,496,4752,42
497,497,45,0,0,0,497,4540,40
498,498,93,2,0,2,498,9312,80
499,499,99,3,3,0,499,9999,84
500,500,99,0,0,0,500,9999,84
501,501,25,3,1,2,501,2562,23
502,502,1,1,1,0,502,121,0
503,503,1,0,0,0,503,119,0
504,504,25,0,0,0,504,2512,23
505,505,49,2,0,2,505,4941,43
506,506,43,0,0,0,506,4321,39
507,507,73,3,1,2,507,7311,64
508,508,99,1,0,1,508,9999,84
509,509,46,0,0,0,509,4646,41
510,510,70,0,0,0,510,7022,61
511,511,73,12,7,5,511,7311,64
512,512,46,2,1,1,512,4675,41
513,513,99,0,0,0,513,9999,84
514,514,46,0,0,0,514,4624,41
515,515,70,0,0,0,515,7022,61
516,516,27,1,0,1,516,2790,25
517,517,99,1,1,0,517,9999,84
518,518,68,0,0,0,518,6810,59
519,519,25,4,2,2,519,2592,23
520,520,46,0,0,0,520,4614,41
521,521,49,2,1,1,521,4939,43
522,522,46,0,0,0,522,4652,41
523,523,25,0,0,0,523,2550,23
524,524,99,0,0,0,524,9999,84
525,525,49,6,2,4,525,4941,43
526,526,93,2,0,2,526,9312,80
527,527,46,1,0,1,527,4669,41
528,528,80,1,0,1,528,8010,70
529,529,90,1,0,1,529,9001,77
530,530,99,1,0,1,530,9999,84
531,531,46,2,0,2,531,4639,41
532,532,78,0,0,0,532,7810,68
533,533,46,0,0,0,533,4621,41
534,534,23,0,0,0,534,2312,21
535,535,80,3,1,2,535,8010,70
536,536,99,0,0,0,536,9999,84
537,537,38,1,0,1,537,3832,35
538,538,25,2,1,1,538,2511,23
539,539,1,0,0,0,539,147,0
540,540,41,1,0,1,540,4120,37
541,541,26,8,8,0,541,2620,24
542,542,47,0,0,0,542,4719,42
543,543,41,0,0,0,543,4110,37
544,544,82,1,0,1,544,8230,72
545,545,27,1,0,1,545,2740,25
546,546,41,0,0,0,546,4120,37
547,547,90,0,0,0,547,9001,77
548,548,55,0,0,0,548,5510,48
549,549,1,1,1,0,549,161,0
550,550,71,1,0,1,550,7112,62
551,551,99,0,0,0,551,9999,84
552,552,47,0,0,0,552,4778,42
553,553,71,0,0,0,553,7112,62
554,554,38,1,0,1,554,3811,35
555,555,49,3,2,1,555,4941,43
556,556,45,0,0,0,556,4511,40
557,557,52,1,1,0,557,5210,46
558,558,46,2,1,1,558,4673,41
559,559,46,1,1,0,559,4690,41
560,560,46,0,0,0,560,4673,41
561,561,11,0,0,0,561,1102,9
562,562,49,22,16,6,562,4939,43
563,563,71,1,0,1,563,7112,62
564,564,1,1,0,1,564,111,0
565,565,43,0,0,0,565,4321,39
566,566,49,0,0,0,566,4941,43
567,567,18,4,3,1,567,1812,16
568,568,25,1,0,1,568,2562,23
569,569,82,2,2,0,569,8211,72
570,570,45,0,0,0,570,4520,40
571,571,81,0,0,0,571,8121,71
572,572,43,0,0,0,572,4399,39
573,573,43,0,0,0,573,4321,39
574,574,62,0,0,0,574,6202,54
575,575,46,0,0,0,575,4662,41
576,576,80,1,0,1,576,8020,70
577,577,59,0,0,0,577,5913,51
578,578,33,3,0,3,578,3312,31
579,579,47,1,1,0,579,4730,42
580,580,46,2,2,0,580,4621,41
581,581,80,0,0,0,581,8030,70
582,582,42,0,0,0,582,4211,38
583,583,46,0,0,0,583,4621,41
584,584,82,1,0,1,584,8292,72
585,585,14,3,1,2,585,1412,12
586,586,45,2,0,2,586,4519,40
587,587,46,1,0,1,587,4665,41
588,588,1,0,0,0,588,161,0
589,589,46,0,0,0,589,4677,41
590,590,68,1,0,1,590,6820,59
591,591,46,3,1,2,591,4618,41
592,592,81,1,0,1,592,8121,71
593,593,46,1,1,0,593,4621,41
594,594,10,30,23,7,594,1012,8
595,595,46,1,0,1,595,4663,41
596,596,71,0,0,0,596,7111,62
597,597,81,0,0,0,597,8110,71
598,598,46,1,0,1,598,4675,41
599,599,68,0,0,0,599,6820,59
600,600,49,1,0,1,600,4941,43
601,601,69,0,0,0,601,6920,60
602,602,68,0,0,0,602,6832,59
603,603,82,1,1,0,603,8230,72
604,604,99,0,0,0,604,9999,84
605,605,22,0,0,0,605,2223,20
606,606,82,0,0,0,606,8230,72
607,607,1,1,1,0,607,111,0
608,608,62,0,0,0,608,6209,54
609,609,96,0,0,0,609,9604,83
610,610,74,1,0,1,610,7490,65
611,611,46,4,4,0,611,4638,41
612,612,46,1,0,1,612,4633,41
613,613,43,0,0,0,613,4321,39
614,614,68,0,0,0,614,6820,59
615,615,78,4,4,0,615,7820,68
616,616,71,1,0,1,616,7112,62
617,617,43,1,0,1,617,4339,39
618,618,81,4,3,1,618,8110,71
619,619,81,0,0,0,619,8122,71
620,620,28,4,4,0,620,2825,26
621,621,46,0,0,0,621,4621,41
622,622,41,0,0,0,622,4120,37
623,623,47,5,5,0,623,4777,42
624,624,99,0,0,0,624,9999,84
625,625,45,1,0,1,625,4511,40
626,626,22,1,0,1,626,2223,20
627,627,70,1,0,1,627,7022,61
628,628,38,0,0,0,628,3822,35
629,629,46,3,2,1,629,4673,41
630,630,41,1,0,1,630,4120,37
631,631,25,1,1,0,631,2561,23
632,632,33,0,0,0,632,3312,31
633,633,46,5,5,0,633,4690,41
634,634,1,1,1,0,634,111,0
635,635,42,0,0,0,635,4211,38
636,636,52,0,0,0,636,5229,46
637,637,49,0,0,0,637,4941,43
638,638,1,0,0,0,638,111,0
639,639,25,0,0,0,639,2562,23
640,640,99,1,0,1,640,9999,84
641,641,47,0,0,0,641,4730,42
642,642,42,0,0,0,642,4213,38
643,643,33,1,0,1,643,3320,31
644,644,61,1,0,1,644,6190,53
645,645,99,1,0,1,645,9999,84
646,646,90,0,0,0,646,9001,77
647,647,46,0,0,0,647,4632,41
648,648,25,2,1,1,648,2511,23
649,649,46,6,0,6,649,4633,41
650,650,46,7,4,3,650,4643,41
651,651,25,0,0,0,651,2562,23
652,652,68,0,0,0,652,6820,59
653,653,46,0,0,0,653,4672,41
654,654,45,2,1,1,654,4511,40
655,655,42,3,1,2,655,4221,38
656,656,45,12,3,9,656,4511,40
657,657,70,6,6,0,657,7022,61
658,658,43,1,0,1,658,4322,39
659,659,33,1,0,1,659,3312,31
660,660,42,3,3,0,660,4221,38
661,661,43,0,0,0,661,4312,39
662,662,25,0,0,0,662,2511,23
663,663,62,0,0,0,663,6202,54
664,664,68,1,0,1,664,6820,59
665,665,43,1,0,1,665,4312,39
666,666,41,1,0,1,666,4120,37
667,667,14,2,2,0,667,1413,12
668,668,46,1,0,1,668,4634,41
669,669,42,0,0,0,669,4211,38
670,670,47,1,0,1,670,4772,42
671,671,68,0,0,0,671,6810,59
672,672,46,0,0,0,672,4690,41
673,673,42,1,0,1,673,4211,38
674,674,46,1,0,1,674,4690,41
675,675,99,3,3,0,675,9999,84
676,676,62,0,0,0,676,6201,54
677,677,99,1,1,0,677,9999,84
678,678,99,2,0,2,678,9999,84
679,679,99,2,2,0,679,9999,84
680,680,99,1,1,0,680,9999,84
681,681,99,1,1,0,681,9999,84
682,682,80,1,1,0,682,8020,70
683,683,99,0,0,0,683,9999,84
684,684,49,0,0,0,684,4939,43
685,685,41,0,0,0,685,4120,37
686,686,22,7,6,1,686,2222,20
687,687,10,2,2,0,687,1013,8
688,688,81,2,1,1,688,8129,71
689,689,99,5,0,5,689,9999,84
690,690,99,1,0,1,690,9999,84
691,691,99,2,0,2,691,9999,84
692,692,21,12,11,1,692,2120,19
693,693,68,1,0,1,693,6810,59
694,694,13,1,1,0,694,1391,11
695,695,59,0,0,0,695,5911,51
696,696,46,4,3,1,696,4651,41
697,697,59,0,0,0,697,5911,51
698,698,68,1,0,1,698,6810,59
699,699,77,1,0,1,699,7739,67
700,700,62,2,1,1,700,6201,54
701,701,46,5,2,3,701,4690,41
702,702,41,1,0,1,702,4110,37
703,703,33,16,5,11,703,3312,31
704,704,69,2,1,1,704,6910,60
705,705,28,1,0,1,705,2822,26
706,706,61,1,1,0,706,6120,53
707,707,99,0,0,0,707,9999,84
708,708,46,5,4,1,708,4651,41
709,709,99,1,1,0,709,9999,84
710,710,1,0,0,0,710,111,0
711,711,42,1,0,1,711,4211,38
712,712,46,0,0,0,712,4690,41
713,713,99,1,0,1,713,9999,84
714,714,43,0,0,0,714,4322,39
715,715,64,1,1,0,715,6420,56
716,716,63,1,1,0,716,6399,55
717,717,45,4,2,2,717,4511,40
718,718,99,0,0,0,718,9999,84
719,719,28,0,0,0,719,2899,26
720,720,62,1,0,1,720,6202,54
721,721,49,2,0,2,721,4941,43
722,722,78,0,0,0,722,7820,68
723,723,68,3,2,1,723,6820,59
724,724,62,1,0,1,724,6201,54
725,725,46,0,0,0,725,4690,41
726,726,62,2,1,1,726,6202,54
727,727,59,0,0,0,727,5911,51
728,728,71,0,0,0,728,7112,62
729,729,43,0,0,0,729,4399,39
730,730,41,0,0,0,730,4120,37
731,731,99,0,0,0,731,9999,84
732,732,23,1,0,1,732,2363,21
