,supplier,buyer,supplier_nace,buyer_nace
389,17343,1019,40,42
390,17558,1019,71,42
391,17559,1019,15,42
392,17724,1019,46,42
393,17990,1019,41,42
394,18040,1019,38,42
395,18077,1019,41,42
396,18078,1019,61,42
397,18188,1019,43,42
398,18202,1019,41,42
399,18698,1019,42,42
400,18701,1019,46,42
401,18847,1019,24,42
402,18976,1019,38,42
403,19494,1019,61,42
404,19520,1019,20,42
405,19539,1019,23,42
406,19619,1019,41,42
407,19664,1019,41,42
408,19701,1019,63,42
409,19807,1019,41,42
410,19877,1019,84,42
411,19960,1019,84,42
412,19989,1019,31,42
413,20046,1019,61,42
414,20592,1019,41,42
415,20620,1019,59,42
416,20664,1019,40,42
417,21271,1019,16,42
418,21278,1019,55,42
419,21305,1019,84,42
420,21390,1019,40,42
421,21466,1019,84,42
422,21469,1019,53,42
423,21547,1019,41,42
424,21574,1019,6,42
425,21721,1019,41,42
426,21767,1019,25,42
427,21867,1019,24,42
428,22016,1019,32,42
429,22395,1019,32,42
430,22726,1019,41,42
431,22743,1019,43,42
432,22934,1019,70,42
433,22950,1019,37,42
434,23129,1019,84,42
435,23234,1019,59,42
436,23572,1019,9,42
437,23655,1019,23,42
438,23809,1019,41,42
439,24372,1019,23,42
440,24454,1019,59,42
441,24560,1019,59,42
442,24754,1019,46,42
443,24777,1019,84,42
444,24995,1019,41,42
445,25176,1019,26,42
446,25208,1019,26,42
447,25210,1019,42,42
448,25252,1019,8,42
449,25328,1019,77,42
450,25406,1019,41,42
451,25419,1019,70,42
452,25443,1019,40,42
453,25523,1019,41,42
454,25535,1019,63,42
455,25610,1019,41,42
456,25775,1019,59,42
457,25810,1019,41,42
458,25814,1019,70,42
459,25841,1019,41,42
460,25858,1019,18,42
461,25926,1019,84,42
462,26041,1019,41,42
463,26147,1019,59,42
464,26181,1019,41,42
465,26452,1019,24,42
466,26530,1019,84,42
467,26587,1019,41,42
468,26743,1019,41,42
469,26952,1019,64,42
470,27054,1019,84,42
471,27118,1019,42,42
472,27316,1019,39,42
473,27433,1019,42,42
474,27508,1019,41,42
475,27522,1019,41,42
476,27545,1019,53,42
477,27558,1019,20,42
478,27573,1019,40,42
479,27607,1019,20,42
480,27651,1019,41,42
481,27687,1019,41,42
482,27756,1019,43,42
483,28065,1019,64,42
484,28073,1019,27,42
485,28175,1019,40,42
486,28240,1019,8,42
487,28334,1019,42,42
488,28342,1019,59,42
489,28661,1019,59,42
490,28731,1019,55,42
491,28765,1019,38,42
492,28879,1019,54,42
493,29027,1019,43,42
494,29478,1019,41,42
495,29703,1019,41,42
496,29753,1019,0,42
497,29779,1019,41,42
498,29942,1019,8,42
499,29982,1019,46,42
500,30203,1019,41,42
501,30225,1019,41,42
502,30645,1019,41,42
503,30658,1019,41,42
504,30660,1019,70,42
505,30693,1019,41,42
506,30869,1019,41,42
507,30964,1019,41,42
508,31033,1019,35,42
509,31068,1019,71,42
510,31294,1019,35,42
511,31372,1019,41,42
512,31406,1019,0,42
513,31770,1019,54,42
514,31810,1019,18,42
515,31915,1019,69,42
516,31926,1019,18,42
517,32062,1019,59,42
518,32096,1019,0,42
519,32220,1019,84,42
520,32544,1019,84,42
521,32597,1019,84,42
522,32936,1019,84,42
523,32982,1019,84,42
524,31,8010,21,43
525,31,24436,21,43
526,31,2504,21,43
527,1003,2504,43,43
528,1382,2504,54,43
529,1467,2504,84,43
530,1964,2504,56,43
531,2014,2504,26,43
532,2273,2504,18,43
533,2350,2504,43,43
534,2653,2504,39,43
535,3140,2504,17,43
536,3434,2504,70,43
537,4175,2504,25,43
538,4666,2504,81,43
539,6383,2504,41,43
540,6539,2504,59,43
541,7143,2504,39,43
542,7461,2504,41,43
543,8512,2504,39,43
544,8553,2504,41,43
545,9028,2504,32,43
546,9614,2504,70,43
547,10006,2504,24,43
548,10142,2504,53,43
549,11673,2504,26,43
550,13689,2504,8,43
551,13712,2504,8,43
552,14490,2504,59,43
553,15276,2504,84,43
554,16139,2504,39,43
555,17238,2504,24,43
556,18078,2504,61,43
557,18156,2504,21,43
558,18234,2504,18,43
559,19103,2504,52,43
560,19334,2504,27,43
561,22016,2504,32,43
562,22458,2504,43,43
563,24995,2504,41,43
564,25138,2504,8,43
565,25378,2504,41,43
566,25990,2504,84,43
567,26216,2504,41,43
568,26511,2504,51,43
569,27177,2504,0,43
570,27768,2504,59,43
571,27785,2504,23,43
572,28933,2504,72,43
573,29635,2504,41,43
574,30086,2504,41,43
575,30292,2504,84,43
576,31396,2504,70,43
577,31831,2504,53,43
578,31931,2504,39,43
579,33452,2504,84,43
580,32,21615,39,56
581,3140,21615,17,56
582,3160,21615,8,56
583,4227,21615,41,56
584,4418,21615,39,56
585,4429,21615,40,56
586,4826,21615,41,56
587,6745,21615,18,56
588,6897,21615,59,56
589,7171,21615,41,56
590,9905,21615,41,56
591,10478,21615,68,56
592,11650,21615,43,56
593,12212,21615,42,56
594,12390,21615,41,56
595,12693,21615,39,56
596,13787,21615,8,56
597,14299,21615,59,56
598,14929,21615,0,56
599,18234,21615,18,56
600,18838,21615,42,56
601,19877,21615,84,56
602,20796,21615,40,56
603,22195,21615,84,56
604,23376,21615,72,56
605,25912,21615,41,56
606,27128,21615,84,56
607,27728,21615,54,56
608,28225,21615,32,56
609,29402,21615,65,56
610,29585,21615,43,56
611,29807,21615,65,56
612,32,3215,39,42
613,738,3215,59,42
614,1964,3215,56,42
615,1967,3215,9,42
616,3140,3215,17,42
617,4047,3215,40,42
618,4049,3215,38,42
619,4056,3215,40,42
620,5041,3215,35,42
621,5299,3215,70,42
622,6340,3215,32,42
623,6452,3215,39,42
624,6569,3215,52,42
625,7692,3215,41,42
626,7993,3215,23,42
627,8529,3215,32,42
628,8578,3215,47,42
629,9416,3215,41,42
630,9838,3215,9,42
631,10882,3215,84,42
632,11771,3215,41,42
633,12830,3215,0,42
634,13049,3215,32,42
635,13250,3215,42,42
636,13769,3215,41,42
637,13817,3215,41,42
638,14076,3215,20,42
639,14534,3215,46,42
640,14737,3215,41,42
641,14907,3215,56,42
642,14987,3215,0,42
643,16427,3215,41,42
644,16662,3215,84,42
645,16867,3215,43,42
646,17025,3215,80,42
647,17144,3215,52,42
648,17317,3215,37,42
649,17870,3215,70,42
650,17974,3215,71,42
651,18162,3215,11,42
652,18517,3215,80,42
653,18802,3215,40,42
654,19519,3215,41,42
655,19602,3215,15,42
656,19664,3215,41,42
657,19877,3215,84,42
658,20187,3215,84,42
659,20644,3215,23,42
660,21017,3215,62,42
661,21671,3215,33,42
662,21698,3215,51,42
663,22016,3215,32,42
664,22752,3215,27,42
665,22882,3215,43,42
666,22952,3215,46,42
667,23131,3215,32,42
668,23454,3215,70,42
669,24690,3215,41,42
670,25378,3215,41,42
671,25858,3215,18,42
672,26869,3215,0,42
673,27190,3215,84,42
674,27344,3215,62,42
675,27392,3215,20,42
676,27519,3215,77,42
677,28420,3215,40,42
678,29466,3215,35,42
679,30558,3215,23,42
680,30964,3215,41,42
681,32,19334,39,27
682,211,19334,20,27
683,535,19334,70,27
684,753,19334,41,27
685,868,19334,41,27
686,1380,19334,22,27
687,1687,19334,31,27
688,2375,19334,32,27
689,2410,19334,72,27
690,2756,19334,84,27
691,3140,19334,17,27
692,3143,19334,42,27
693,4393,19334,54,27
694,4631,19334,0,27
695,4983,19334,63,27
696,5515,19334,62,27
697,5540,19334,84,27
698,6197,19334,41,27
699,6556,19334,41,27
700,6745,19334,18,27
701,7382,19334,40,27
702,7649,19334,29,27
703,8276,19334,41,27
704,8347,19334,70,27
705,8557,19334,53,27
706,8577,19334,32,27
707,8797,19334,64,27
708,9078,19334,42,27
709,9566,19334,26,27
710,9643,19334,62,27
711,9859,19334,54,27
712,9883,19334,0,27
713,10077,19334,61,27
714,10161,19334,32,27
715,10328,19334,41,27
716,11069,19334,66,27
717,11271,19334,8,27
718,11601,19334,41,27
719,12245,19334,77,27
720,12786,19334,50,27
721,12871,19334,37,27
722,13508,19334,59,27
723,14681,19334,38,27
724,14762,19334,38,27
725,16243,19334,32,27
726,16739,19334,72,27
727,17268,19334,41,27
728,17544,19334,41,27
729,17610,19334,41,27
730,17643,19334,40,27
731,17881,19334,41,27
732,18189,19334,40,27
733,18529,19334,41,27
734,18574,19334,43,27
735,20100,19334,41,27
736,20247,19334,37,27
737,20642,19334,41,27
738,21563,19334,59,27
739,21639,19334,67,27
740,21687,19334,20,27
741,21714,19334,46,27
742,21795,19334,18,27
743,22124,19334,43,27
744,22204,19334,54,27
745,22910,19334,59,27
746,23644,19334,32,27
747,24671,19334,0,27
748,26083,19334,67,27
749,26581,19334,51,27
750,26612,19334,84,27
751,26884,19334,32,27
752,27762,19334,41,27
753,28334,19334,42,27
754,29524,19334,41,27
755,30081,19334,41,27
756,30450,19334,18,27
757,30596,19334,41,27
758,30869,19334,41,27
759,31005,19334,71,27
760,31079,19334,59,27
761,31314,19334,33,27
762,31484,19334,41,27
763,31570,19334,62,27
764,31624,19334,41,27
765,33152,19334,84,27
766,33256,19334,84,27
767,35,21644,59,23
768,36,21344,50,59
769,39,7127,42,71
770,1905,7127,40,71
771,1920,7127,23,71
772,2447,7127,22,71
773,6286,7127,41,71
774,8577,7127,32,71
775,13743,7127,42,71
776,13968,7127,59,71
777,18189,7127,40,71
778,18202,7127,41,71
779,20258,7127,41,71
780,21524,7127,42,71
781,21999,7127,67,71
782,25532,7127,38,71
783,25835,7127,43,71
784,27786,7127,0,71
785,29975,7127,20,71
786,40,1273,40,84
787,10319,1273,39,84
788,41,5303,36,41
789,811,5303,84,41
790,1019,5303,42,41
791,3036,5303,40,41
792,3140,5303,17,41
793,8187,5303,59,41
794,9802,5303,42,41
795,19259,5303,41,41
796,43,26181,59,41
797,44,5902,23,26
798,4360,5902,41,26
799,5285,5902,32,26
800,6345,5902,59,26
801,6370,5902,41,26
802,6927,5902,69,26
803,9832,5902,32,26
804,12435,5902,41,26
805,14475,5902,18,26
806,18189,5902,40,26
807,29729,5902,47,26
808,51,24324,40,42
809,51,23042,40,27
810,7842,23042,41,27
811,8864,23042,20,27
812,13049,23042,32,27
813,21763,23042,41,27
814,26010,23042,67,27
815,26453,23042,54,27
816,52,11948,23,42
817,56,11948,39,42
818,226,11948,32,42
819,265,11948,39,42
820,477,11948,84,42
821,777,11948,56,42
822,823,11948,41,42
823,868,11948,41,42
824,967,11948,1,42
825,970,11948,26,42
826,1041,11948,43,42
827,1317,11948,41,42
828,1493,11948,41,42
829,1956,11948,32,42
830,1964,11948,56,42
831,2066,11948,8,42
832,2129,11948,64,42
833,2144,11948,40,42
834,2156,11948,56,42
835,2311,11948,61,42
836,2626,11948,84,42
837,2684,11948,64,42
838,2844,11948,84,42
839,3123,11948,40,42
840,3140,11948,17,42
841,3250,11948,61,42
842,3276,11948,40,42
843,3370,11948,26,42
844,3461,11948,53,42
845,3478,11948,42,42
846,3829,11948,41,42
847,4244,11948,71,42
848,4467,11948,59,42
849,5486,11948,43,42
850,6209,11948,84,42
851,6295,11948,40,42
852,6569,11948,52,42
853,6571,11948,56,42
854,6726,11948,9,42
855,6954,11948,47,42
856,7071,11948,46,42
857,7423,11948,84,42
858,7443,11948,41,42
859,7754,11948,42,42
860,8512,11948,39,42
861,8557,11948,53,42
862,8577,11948,32,42
863,8578,11948,47,42
864,8771,11948,64,42
865,8991,11948,61,42
866,9007,11948,43,42
867,9015,11948,32,42
868,9150,11948,1,42
869,9318,11948,56,42
870,9761,11948,40,42
871,9806,11948,37,42
872,9924,11948,41,42
873,10053,11948,43,42
874,10093,11948,40,42
875,10228,11948,41,42
876,10284,11948,41,42
877,10934,11948,23,42
878,11406,11948,41,42
879,11587,11948,53,42
880,11628,11948,41,42
881,11775,11948,59,42
882,12006,11948,60,42
883,12533,11948,41,42
884,12715,11948,61,42
885,12750,11948,67,42
886,13049,11948,32,42
887,13320,11948,7,42
888,13689,11948,8,42
889,14050,11948,41,42
890,14261,11948,39,42
891,14442,11948,43,42
892,15306,11948,54,42
893,15605,11948,84,42
894,15895,11948,41,42
895,16096,11948,0,42
896,16278,11948,37,42
897,16553,11948,59,42
898,17021,11948,38,42
899,17127,11948,84,42
900,17545,11948,84,42
901,17656,11948,61,42
902,18015,11948,24,42
903,18103,11948,84,42
904,18249,11948,64,42
905,18288,11948,23,42
906,19092,11948,41,42
907,19095,11948,50,42
908,19161,11948,19,42
909,19341,11948,80,42
910,19506,11948,1,42
911,19529,11948,84,42
912,19586,11948,41,42
913,19877,11948,84,42
914,19991,11948,61,42
915,20518,11948,84,42
916,20590,11948,41,42
917,20650,11948,1,42
918,20682,11948,33,42
919,20707,11948,8,42
920,20745,11948,41,42
921,20760,11948,27,42
922,21013,11948,41,42
923,21163,11948,57,42
924,21219,11948,42,42
925,21471,11948,21,42
926,21728,11948,27,42
927,21798,11948,26,42
928,22016,11948,32,42
929,22032,11948,84,42
930,22253,11948,41,42
931,22395,11948,32,42
932,23347,11948,39,42
933,23478,11948,70,42
934,23725,11948,71,42
935,23827,11948,18,42
936,23924,11948,43,42
937,24000,11948,20,42
938,24167,11948,8,42
939,24199,11948,37,42
940,24206,11948,20,42
941,24371,11948,24,42
942,24489,11948,41,42
943,24560,11948,59,42
944,24636,11948,84,42
945,24835,11948,41,42
946,24914,11948,54,42
947,24995,11948,41,42
948,25019,11948,40,42
949,25128,11948,33,42
950,25542,11948,54,42
951,26225,11948,8,42
952,26283,11948,46,42
953,26798,11948,54,42
954,27063,11948,38,42
955,27086,11948,41,42
956,27315,11948,22,42
957,27591,11948,0,42
958,27939,11948,84,42
959,28036,11948,84,42
960,28096,11948,59,42
961,28186,11948,84,42
962,28398,11948,41,42
963,29133,11948,41,42
964,29341,11948,84,42
965,29469,11948,41,42
966,29478,11948,41,42
967,29707,11948,77,42
968,30016,11948,43,42
969,30033,11948,41,42
970,30086,11948,41,42
971,30106,11948,15,42
972,30128,11948,24,42
973,30504,11948,16,42
974,30660,11948,70,42
975,30814,11948,61,42
976,30882,11948,16,42
977,31003,11948,41,42
978,31068,11948,71,42
979,31322,11948,41,42
980,31381,11948,59,42
981,31844,11948,18,42
982,31890,11948,21,42
983,31926,11948,18,42
984,33364,11948,84,42
985,33403,11948,84,42
986,53,7598,41,8
987,13720,7598,8,8
988,18794,7598,61,8
989,30804,7598,41,8
990,57,9539,61,54
991,2733,9539,25,54
992,14129,9539,42,54
993,58,2117,42,41
994,516,2117,25,41
995,1396,2117,64,41
996,13740,2117,8,41
997,14361,2117,37,41
998,22107,2117,21,41
999,23508,2117,42,41
1000,30529,2117,84,41
1001,31172,2117,0,41
1002,31584,2117,8,41
1003,58,10543,42,20
1004,1866,10543,84,20
1005,5049,10543,47,20
1006,9512,10543,18,20
1007,10161,10543,32,20
1008,14864,10543,19,20
1009,16243,10543,32,20
1010,16919,10543,84,20
1011,17356,10543,0,20
1012,23592,10543,31,20
1013,24760,10543,41,20
1014,28320,10543,54,20
1015,28407,10543,22,20
1016,29584,10543,59,20
1017,59,25537,54,41
1018,11083,25537,70,41
1019,11870,25537,21,41
1020,62,15032,53,26
1021,558,15032,41,26
1022,1019,15032,42,26
1023,3705,15032,40,26
1024,4154,15032,39,26
1025,7827,15032,41,26
1026,8294,15032,8,26
1027,8337,15032,64,26
1028,8793,15032,31,26
1029,9028,15032,32,26
1030,9545,15032,72,26
1031,9614,15032,70,26
1032,10648,15032,41,26
1033,11324,15032,32,26
1034,11597,15032,32,26
1035,12446,15032,37,26
1036,12505,15032,83,26
1037,12803,15032,46,26
1038,17144,15032,52,26
1039,19339,15032,62,26
1040,19950,15032,39,26
1041,20669,15032,42,26
1042,21795,15032,18,26
1043,22395,15032,32,26
1044,26365,15032,41,26
1045,28227,15032,32,26
1046,28334,15032,42,26
1047,28398,15032,41,26
1048,28600,15032,40,26
1049,29469,15032,41,26
1050,30658,15032,41,26
1051,67,24371,43,24
1052,114,24371,41,24
1053,295,24371,32,24
1054,868,24371,41,24
1055,900,24371,41,24
1056,1227,24371,23,24
1057,2892,24371,68,24
1058,2978,24371,84,24
1059,3140,24371,17,24
1060,3545,24371,84,24
1061,3629,24371,41,24
1062,4379,24371,42,24
1063,4421,24371,60,24
1064,4879,24371,60,24
1065,5878,24371,16,24
1066,9179,24371,41,24
1067,9871,24371,8,24
1068,10134,24371,70,24
1069,10292,24371,62,24
1070,12018,24371,32,24
1071,12096,24371,47,24
1072,12397,24371,0,24
1073,13737,24371,41,24
1074,14475,24371,18,24
1075,14639,24371,84,24
1076,14734,24371,41,24
1077,15025,24371,59,24
1078,16663,24371,84,24
1079,16779,24371,41,24
1080,17527,24371,59,24
1081,18260,24371,41,24
1082,19148,24371,20,24
1083,20563,24371,41,24
1084,21080,24371,20,24
1085,21354,24371,84,24
1086,21607,24371,37,24
1087,21995,24371,59,24
1088,23290,24371,84,24
1089,23698,24371,84,24
1090,23942,24371,41,24
1091,25192,24371,59,24
1092,26190,24371,71,24
1093,26507,24371,65,24
1094,26517,24371,59,24
1095,27065,24371,56,24
1096,27519,24371,77,24
1097,28334,24371,42,24
1098,28665,24371,43,24
1099,30507,24371,67,24
1100,30528,24371,38,24
1101,30935,24371,41,24
1102,30964,24371,41,24
1103,31972,24371,9,24
1104,68,25388,59,41
1105,68,5564,59,24
1106,1545,5564,37,24
1107,3185,5564,41,24
1108,4984,5564,70,24
1109,68,27878,59,37
1110,4938,27878,43,37
1111,72,12103,40,40
1112,18615,12103,41,40
1113,73,32566,40,84
1114,114,32566,41,84
1115,147,32566,41,84
1116,247,32566,43,84
1117,295,32566,32,84
1118,475,32566,84,84
1119,586,32566,40,84
1120,1019,32566,42,84
1121,1078,32566,39,84
1122,1138,32566,43,84
1123,1272,32566,41,84
1124,1303,32566,43,84
1125,1377,32566,62,84
1126,1534,32566,64,84
1127,1813,32566,40,84
1128,1913,32566,41,84
1129,1973,32566,41,84
1130,2300,32566,59,84
1131,2375,32566,32,84
1132,2390,32566,72,84
1133,2624,32566,84,84
1134,2730,32566,42,84
1135,2747,32566,70,84
1136,2825,32566,8,84
1137,2872,32566,41,84
1138,2892,32566,68,84
1139,3052,32566,23,84
1140,3140,32566,17,84
1141,3145,32566,62,84
1142,3543,32566,70,84
1143,4018,32566,20,84
1144,4304,32566,37,84
1145,4346,32566,47,84
1146,4405,32566,70,84
1147,4429,32566,40,84
1148,4554,32566,43,84
1149,4626,32566,84,84
1150,4686,32566,41,84
1151,4731,32566,46,84
1152,4960,32566,39,84
1153,5274,32566,41,84
1154,5341,32566,41,84
1155,5362,32566,41,84
1156,5623,32566,41,84
